# Recognized email domains for universities in the QS 2025 institution catalog.
# Format: domain,institution enum value. Subdomains are recognized automatically.
shef.ac.uk,UNIVERSITY_OF_SHEFFIELD
sheffield.ac.uk,UNIVERSITY_OF_SHEFFIELD
uu.nl,UTRECHT_UNIVERSITY
tohoku.ac.jp,TOHOKU_UNIVERSITY
bu.edu,BOSTON_UNIVERSITY
nottingham.ac.uk,UNIVERSITY_OF_NOTTINGHAM
dtu.dk,DTU
uzh.ch,UNIVERSITY_OF_ZURICH
unizh.ch,UNIVERSITY_OF_ZURICH
polimi.it,POLITECNICO_DI_MILANO
aalto.fi,AALTO_UNIVERSITY
gatech.edu,GEORGIA_TECH
uwaterloo.ca,UNIVERSITY_OF_WATERLOO
wisc.edu,UW_MADISON
helsinki.fi,UNIVERSITY_OF_HELSINKI
iitb.ac.in,IIT_BOMBAY
uio.no,UNIVERSITY_OF_OSLO
qmw.ac.uk,QUEEN_MARY_UNIVERSITY_OF_LONDON
qmul.ac.uk,QUEEN_MARY_UNIVERSITY_OF_LONDON
uwo.ca,WESTERN_UNIVERSITY_CANADA
qu.edu.qa,QATAR_UNIVERSITY
rmit.edu.au,RMIT_UNIVERSITY
skku.edu,SKKU
usc.edu,USC
isi.edu,USC
hu-berlin.de,HUMBOLDT_UNIVERSITY_OF_BERLIN
ucd.ie,UCD
ucdconnect.ie,UCD
su.se,STOCKHOLM_UNIVERSITY
ncl.ac.uk,NEWCASTLE_UNIVERSITY
ucdavis.edu,UC_DAVIS
unibas.ch,UNIVERSITY_OF_BASEL
uniroma1.it,SAPIENZA_UNIVERSITY_OF_ROME
unibo.it,UNIVERSITY_OF_BOLOGNA
mq.edu.au,MACQUARIE_UNIVERSITY
ustc.edu.cn,USTC
ustc.edu,USTC
tue.nl,TU_EINDHOVEN
univie.ac.at,UNIVERSITY_OF_VIENNA
ukm.my,NATIONAL_UNIVERSITY_OF_MALAYSIA
chalmers.se,CHALMERS_UNIVERSITY_OF_TECHNOLOGY
uchile.cl,UNIVERSITY_OF_CHILE
lancaster.ac.uk,LANCASTER_UNIVERSITY
leidenuniv.nl,LEIDEN_UNIVERSITY
universiteitleiden.nl,LEIDEN_UNIVERSITY
rice.edu,RICE_UNIVERSITY
au.dk,AARHUS_UNIVERSITY
nju.edu.cn,NANJING_UNIVERSITY
usm.my,UNIVERSITI_SAINS_MALAYSIA
tu-berlin.de,TU_BERLIN
upm.edu.my,UNIVERSITI_PUTRA_MALAYSIA
kau.edu.sa,KING_ABDULAZIZ_UNIVERSITY
iitd.ernet.in,IIT_DELHI
iitd.ac.in,IIT_DELHI
bath.ac.uk,UNIVERSITY_OF_BATH
msu.edu,MICHIGAN_STATE_UNIVERSITY
nagoya-u.ac.jp,NAGOYA_UNIVERSITY
tamu.edu,TEXAS_A_M_UNIVERSITY
unige.ch,UNIVERSITY_OF_GENEVA
unc.edu,UNC_CHAPEL_HILL
ad.unc.edu,UNC_CHAPEL_HILL
wur.nl,WAGENINGEN_UNIVERSITY
eur.nl,ERASMUS_UNIVERSITY_ROTTERDAM
rug.nl,UNIVERSITY_OF_GRONINGEN
umontreal.ca,UNIVERSITY_OF_MONTREAL
unibe.ch,UNIVERSITY_OF_BERN
hanyang.ac.kr,HANYANG_UNIVERSITY
kaznu.kz,AL_FARABI_KAZAKH_NATIONAL_UNIVERSITY
ucm.es,UNIVERSIDAD_COMPLUTENSE_DE_MADRID
ub.es,UNIVERSITY_OF_BARCELONA
liv.ac.uk,UNIVERSITY_OF_LIVERPOOL
kyushu-u.ac.jp,KYUSHU_UNIVERSITY
uow.edu.au,UNIVERSITY_OF_WOLLONGONG
uowmail.edu.au,UNIVERSITY_OF_WOLLONGONG
ugent.be,GHENT_UNIVERSITY
ex.ac.uk,UNIVERSITY_OF_EXETER
uct.ac.za,UNIVERSITY_OF_CAPE_TOWN
myuct.ac.za,UNIVERSITY_OF_CAPE_TOWN
wustl.edu,WASHINGTON_UNIVERSITY_IN_ST_LOUIS
rdg.ac.uk,UNIVERSITY_OF_READING
hokudai.ac.jp,HOKKAIDO_UNIVERSITY
curtin.edu.au,CURTIN_UNIVERSITY
uab.es,AUTONOMOUS_UNIVERSITY_OF_BARCELONA
mcmaster.ca,MCMASTER_UNIVERSITY
ucsb.edu,UC_SANTA_BARBARA
newcastle.edu.au,UNIVERSITY_OF_NEWCASTLE_AUSTRALIA
uniandes.edu.co,UNIVERSIDAD_DE_LOS_ANDES
utm.my,UNIVERSITI_TEKNOLOGI_MALAYSIA
waseda.ac.jp,WASEDA_UNIVERSITY
hbku.edu.qa,HAMAD_BIN_KHALIFA_UNIVERSITY
york.ac.uk,UNIVERSITY_OF_YORK
tec.mx,TECNOLOGICO_DE_MONTERREY
cardiff.ac.uk,CARDIFF_UNIVERSITY
cf.ac.uk,CARDIFF_UNIVERSITY
ens-lyon.fr,ENS_DE_LYON
keio.jp,KEIO_UNIVERSITY
uottawa.ca,UNIVERSITY_OF_OTTAWA
tuwien.ac.at,TU_WIEN
uni-hamburg.de,UNIVERSITY_OF_HAMBURG
tongji.edu.cn,TONGJI_UNIVERSITY
queensu.ca,QUEENS_UNIVERSITY_CANADA
gu.se,UNIVERSITY_OF_GOTHENBURG
whu.edu.cn,WUHAN_UNIVERSITY
emory.edu,EMORY_UNIVERSITY
deakin.edu.au,DEAKIN_UNIVERSITY
uam.es,AUTONOMOUS_UNIVERSITY_OF_MADRID
ucalgary.ca,UNIVERSITY_OF_CALGARY
asu.edu,ARIZONA_STATE_UNIVERSITY
ksu.edu.sa,KING_SAUD_UNIVERSITY
ku.ac.ae,KHALIFA_UNIVERSITY
umn.edu,UNIVERSITY_OF_MINNESOTA
uclouvain.be,UCLOUVAIN
qub.ac.uk,QUEENS_UNIVERSITY_BELFAST
ui.ac.id,UNIVERSITY_OF_INDONESIA
osu.edu,OHIO_STATE_UNIVERSITY
tau.ac.il,TEL_AVIV_UNIVERSITY
nthu.edu.tw,NATIONAL_TSING_HUA_UNIVERSITY
iisc.ac.in,IISC_BANGALORE
uni-freiburg.de,UNIVERSITY_OF_FREIBURG
qut.edu.au,QUEENSLAND_UNIVERSITY_OF_TECHNOLOGY
otago.ac.nz,UNIVERSITY_OF_OTAGO
english.web.ncku.edu.tw,NATIONAL_CHENG_KUNG_UNIVERSITY
ufl.edu,UNIVERSITY_OF_FLORIDA
latrobe.edu.au,LA_TROBE_UNIVERSITY
umd.edu,UNIVERSITY_OF_MARYLAND_COLLEGE_PARK
nycu.edu.tw,NATIONAL_YANG_MING_CHIAO_TUNG_UNIVERSITY
unal.edu.co,UNIVERSIDAD_NACIONAL_DE_COLOMBIA
vu.nl,VU_AMSTERDAM
uni-tuebingen.de,UNIVERSITY_OF_TUBINGEN
iitkgp.ernet.in,IIT_KHARAGPUR
iitkgp.ac.in,IIT_KHARAGPUR
fau.de,FAU_ERLANGEN_NURNBERG
uni-erlangen.de,FAU_ERLANGEN_NURNBERG
lboro.ac.uk,LOUGHBOROUGH_UNIVERSITY
student.lboro.ac.uk,LOUGHBOROUGH_UNIVERSITY
unil.ch,UNIVERSITY_OF_LAUSANNE
iitm.ac.in,IIT_MADRAS
uni-bonn.de,UNIVERSITY_OF_BONN
chula.ac.th,CHULALONGKORN_UNIVERSITY
unimaas.nl,MAASTRICHT_UNIVERSITY
student.maastrichtuniversity.nl,MAASTRICHT_UNIVERSITY
ulb.be,UNIVERSITE_LIBRE_DE_BRUXELLES
ulb.ac.be,UNIVERSITE_LIBRE_DE_BRUXELLES
unicamp.br,UNICAMP
utwente.nl,UNIVERSITY_OF_TWENTE
tu-dresden.de,TU_DRESDEN
waikato.ac.nz,UNIVERSITY_OF_WAIKATO
abdn.ac.uk,UNIVERSITY_OF_ABERDEEN
aberdeen.ac.uk,UNIVERSITY_OF_ABERDEEN
rochester.edu,UNIVERSITY_OF_ROCHESTER
unipd.it,UNIVERSITY_OF_PADUA
ugm.ac.id,UNIVERSITAS_GADJAH_MADA
massey.ac.nz,MASSEY_UNIVERSITY
polito.it,POLITECNICO_DI_TORINO
tu-darmstadt.de,TU_DARMSTADT
dartmouth.edu,DARTMOUTH_COLLEGE
vuw.ac.nz,VICTORIA_UNIVERSITY_OF_WELLINGTON
um.edu.mo,UNIVERSITY_OF_MACAU
cuni.cz,CHARLES_UNIVERSITY
sussex.ac.uk,UNIVERSITY_OF_SUSSEX
vanderbilt.edu,VANDERBILT_UNIVERSITY
unav.es,UNIVERSIDAD_DE_NAVARRA
aub.edu.lb,AMERICAN_UNIVERSITY_OF_BEIRUT
taylors.edu.my,TAYLORS_UNIVERSITY
hit.edu.cn,HARBIN_INSTITUTE_OF_TECHNOLOGY
hkbu.edu.hk,HONG_KONG_BAPTIST_UNIVERSITY
life.hkbu.edu.hk,HONG_KONG_BAPTIST_UNIVERSITY
associate.hkbu.edu.hk,HONG_KONG_BAPTIST_UNIVERSITY
uni-goettingen.de,UNIVERSITY_OF_GOTTINGEN
griffith.edu.au,GRIFFITH_UNIVERSITY
itb.ac.id,BANDUNG_INSTITUTE_OF_TECHNOLOGY
hw.ac.uk,HERIOT_WATT_UNIVERSITY
uw.edu.pl,UNIVERSITY_OF_WARSAW
case.edu,CASE_WESTERN_RESERVE_UNIVERSITY
ulisboa.pt,UNIVERSITY_OF_LISBON
uaeu.ac.ae,UNITED_ARAB_EMIRATES_UNIVERSITY
canterbury.ac.nz,UNIVERSITY_OF_CANTERBURY
uclive.ac.nz,UNIVERSITY_OF_CANTERBURY
iitk.ac.in,IIT_KANPUR
ntnu.no,NTNU
ucsi.edu.my,UCSI_UNIVERSITY
upf.es,UNIVERSITAT_POMPEU_FABRA
upf.edu,UNIVERSITAT_POMPEU_FABRA
uantwerpen.be,UNIVERSITY_OF_ANTWERP
wits.ac.za,UNIVERSITY_OF_THE_WITWATERSRAND
tju.edu.cn,TIANJIN_UNIVERSITY
utp.edu.my,UNIVERSITI_TEKNOLOGI_PETRONAS
